"year","powertrain","age","proportion","vmt","high_VMT_prop","n","l_100km","l_100kme","uf","weight_lbs","ev_range","batt_kwh"
2010,"icev",14,0.976272844939166,9032.40449348282,0.801006612337156,5590227.60247105,11.1026541069503,0,0,4107.24590496795,0,0
2010,"phev",14,2.81301233928726e-05,9032.40449348282,0.801006612337156,161.075659398835,NA,NA,NA,NA,NA,NA
2011,"bev",13,0.000789794960087651,9555.71041732084,0.799190116825938,5004.38231407181,0,2.37606404330845,0,3298.87147335423,72.9937304075235,0
2011,"hev",13,0.0210321646580059,9555.71041732084,0.799190116825938,133266.224982608,5.82384874928804,0,0,3333.92206128683,0,0
2011,"icev",13,0.977577711691971,9555.71041732084,0.799190116825938,6194231.235002,11.3747475357297,0,0,4235.63619816789,0,0
2011,"phev",13,0.000600328689935827,9555.71041732084,0.799190116825938,3803.86610495886,6.35702702702703,2.52913978494624,0.64,2800,35,0
2012,"bev",12,0.00100641644818546,9639.18898608404,0.794777054915406,8666.6921228514,0,2.41047459010251,0,3402.08570345089,85.5733788395904,0
2012,"hev",12,0.0299881330205602,9639.18898608404,0.794777054915406,258240.926702757,5.69403024430419,0,0,3292.58624006156,0,0
2012,"icev",12,0.966343383469022,9639.18898608404,0.794777054915406,8321605.43935909,10.7029494955344,0,0,4088.04916847291,0,0
2012,"phev",12,0.00266206706223265,9639.18898608404,0.794777054915406,22924.223546178,5.72625559404923,2.51352185542571,0.491529606351307,3008.13761164406,24.8693350975852,0
2013,"bev",11,0.00308453052847614,9894.55129744962,0.791994278092279,30861.7206418992,0,2.09118554410295,0,3176.98053417836,76.448392937981,0
2013,"hev",11,0.0317813622370446,9894.55129744962,0.791994278092279,317982.75748084,5.71154067931353,0,0,3390.72184595538,0,0
2013,"icev",11,0.961990956900975,9894.55129744962,0.791994278092279,9625029.12447372,10.5185665153406,0,0,3839.00738232139,0,0
2013,"phev",11,0.00314315033350436,9894.55129744962,0.791994278092279,31448.2306570091,6.01012284974549,2.48461451556417,0.537838218641115,3021.2543554007,28.3816419860627,0
2014,"bev",10,0.00384627028336159,10820.9476398212,0.780152947556166,43665.3741746398,0,2.04407262387353,0,2786.93771626298,81.7482698961938,0
2014,"hev",10,0.0273778154516832,10820.9476398212,0.780152947556166,310810.855116808,5.75000998295624,0,0,3321.90336545175,0,0
2014,"icev",10,0.965424194720271,10820.9476398212,0.780152947556166,10960126.4586293,10.6538922071176,0,0,3929.09372868095,0,0
2014,"phev",10,0.00335171954468394,10820.9476398212,0.780152947556166,38050.9109513662,6.17741170256679,2.52018194029872,0.547321603927987,3026.35024549918,29.4554009819967,0
2015,"bev",9,0.00406730769230769,11174.2614169524,0.778442091601637,49894.4240191951,0,2.05320451627551,0,2987.27005150846,83.6379690949227,0
2015,"hev",9,0.0220009157509158,11174.2614169524,0.778442091601637,269889.347531501,5.58751591895837,0,0,3303.88267566997,0,0
2015,"icev",9,0.971473042582418,11174.2614169524,0.778442091601637,11917241.4719191,10.3168191055411,0,0,3922.42139137292,0,0
2015,"phev",9,0.00245873397435897,11174.2614169524,0.778442091601637,30161.7494292554,6.36265741658492,2.52275443985813,0.569186568986569,2994.7496947497,34.0457875457875,0
2016,"bev",8,0.0049394042940942,10872.0572390742,0.774255942612719,55844.4273832492,0,2.08984514693202,0,2536.07954545455,82.7443181818182,0
2016,"hev",8,0.0197590409476622,10872.0572390742,0.774255942612719,223393.806553492,5.75050941940089,0,0,3371.98047564648,0,0
2016,"icev",8,0.971150691952845,10872.0572390742,0.774255942612719,10979735.8276173,10.0703508141741,0,0,3929.68544146174,0,0
2016,"phev",8,0.00415086280539894,10872.0572390742,0.774255942612719,46929.2535521107,6.94188435763265,2.97756589588954,0.489183436724566,3631.7617866005,25.1805210918114,0
2017,"bev",7,0.00606389646567233,11585.8854816098,0.762931407575132,89566.2564,0,2.04748301842185,0,3038.82595262616,170.721936148301,0
2017,"hev",7,0.0210590215309616,11585.8854816098,0.762931407575132,311050.4496,5.74456667730208,0,0,3535.96056895931,0,0
2017,"icev",7,0.967584992165283,11585.8854816098,0.762931407575132,14291630.1404,10.1976297968528,0,0,3884.47855340981,0,0
2017,"phev",7,0.00529208983808253,11585.8854816098,0.762931407575132,78166.3536,5.93977631829856,2.45943541550294,0.566847493489583,3326.77408854167,32.6085611979167,0
2018,"bev",6,0.0119606053604436,11804.0594003687,0.758976715993235,184057.4118,0,2.02313895463796,0,3623.25219517617,248.065243970212,0
2018,"hev",6,0.0195288239371534,11804.0594003687,0.758976715993235,300521.9787,5.79742382737456,0,0,3670.72294293197,0,0
2018,"icev",6,0.96135466728281,11804.0594003687,0.758976715993235,14793937.8108,10.2337997608343,0,0,4023.34918956637,0,0
2018,"phev",6,0.00715590341959335,11804.0594003687,0.758976715993235,110119.5987,6.56451576992563,2.55525227273929,0.631273881728582,3533.01743745262,41.1722896133434,0
2019,"bev",5,0.0137066651034644,12354.0676943972,0.752614314138238,214251.0986,0,2.08032881593528,0,3634.9710982659,251.350252890173,0
2019,"hev",5,0.0234154405299256,12354.0676943972,0.752614314138238,366010.5372,5.72692408960086,0,0,3754.73614337869,0,0
2019,"icev",5,0.957848818805323,12354.0676943972,0.752614314138238,14972289.7709,9.98980350917512,0,0,3807.9207408774,0,0
2019,"phev",5,0.0050290755612873,12354.0676943972,0.752614314138238,78610.2933,6.61729198671723,2.59830802363507,0.618670378619154,3372.30883444692,41.7093541202673,0
2020,"bev",4,0.016388869804191,12441.3856523928,0.749061103342169,224024.841,0,2.03338014110901,0,3666.34189548273,281.233540005905,82.409324594036
2020,"hev",4,0.0312653383716936,12441.3856523928,0.749061103342169,427376.17305,5.54328581083121,0,0,3571.79824561404,0,0
2020,"icev",4,0.947601786327722,12441.3856523928,0.749061103342169,12953079.8676,10.1638576018579,0,0,4258.87514215306,0,0
2020,"phev",4,0.00474400549639299,12441.3856523928,0.749061103342169,64847.36835,6.85647647025725,2.77112695176273,0.536780862374483,3980.6851742469,28.3207324276432,0
2021,"bev",3,0.0305957645178476,11996.2289352866,0.752007513330421,439923.3663,0,2.18222919186118,0,3478.44656128965,296.79912069507,85.6976945880875
2021,"hev",3,0.0532093766648908,11996.2289352866,0.752007513330421,765074.7896,5.95905079741372,0,0,3746.60226515656,0,0
2021,"icev",3,0.904643380394246,11996.2289352866,0.752007513330421,13007478.89375,10.4568076386798,0,0,4368.9846106179,0,0
2021,"phev",3,0.0115514784230154,11996.2289352866,0.752007513330421,166093.75035,8.57477956504611,3.54183412796443,0.524790900290416,4110.9712810584,24.756050338819,0
2022,"bev",2,0.057,13894.8335128149,0.786807806891221,763342.2558,0,1.97041345300183,0,3674.0311389406,269.356320866475,69.9826139109832
2022,"hev",2,0.058,13894.8335128149,0.786807806891221,776734.2252,6.23917242779316,0,0,4023.22207312982,0,0
2022,"icev",2,0.865,13894.8335128149,0.786807806891221,11584053.531,10.6431883038152,0,0,4293.57567395457,0,0
2022,"phev",2,0.02,13894.8335128149,0.786807806891221,267839.388,7.9371198749729,3.23246893106331,0.562086557377049,4188.72131147541,28.1619672131148,3.26195409836066
2023,"bev",1,0.07,13401.151497692,0.756919243617789,1065524.25,0,2.1375652352807,0,3795.78736208626,275.591775325978,85.838473219659
2023,"hev",1,0.075,13401.151497692,0.756919243617789,1141633.125,7.06194817660532,0,0,4270.5035971223,0,0
2023,"icev",1,0.8375,13401.151497692,0.756919243617789,12748236.5625,10.7855156297095,0,0,4586.75254452926,0,0
2023,"phev",1,0.0175,13401.151497692,0.756919243617789,266381.0625,9.30764984546992,3.8045423748853,0.561492537313433,4268.65671641791,28.865671641791,7.71586268656716
