"year","powertrain","l_100km","l_100kme","uf","weight_lbs","ev_range","batt_kwh","n_year_powertrain","n_year","mpg","mpge","proportion"
2013,"bev",0,2.0951718034493,0,3166.79389312977,76.3167938931298,0,262,127349,NA,112.262870096272,0.00308453052847614
2013,"hev",5.72459843438037,0,0,3385.83722645685,0,0,4067,127349,41.0875981426738,NA,0.0317813622370446
2013,"icev",10.5217933952805,0,0,3842.95139796185,0,0,122464,127349,22.35455413005,NA,0.961990956900975
2013,"phev",5.999796288261,2.48322698207024,0.53673381294964,3021.22302158273,28.3201438848921,0,556,127349,39.2029976851387,94.7194926997402,0.00314315033350436
2014,"bev",0,2.07093176448859,0,2802.46913580247,82.1234567901235,0,81,72988,NA,113.57689520885,0.00384627028336159
2014,"hev",5.74318212290075,0,0,3340.97954122753,0,0,1613,72988,40.954647609399,NA,0.0273778154516832
2014,"icev",10.6561429425728,0,0,3931.99246640805,0,0,71148,72988,22.0727144209284,NA,0.965424194720271
2014,"phev",6.19825206270955,2.52132751053763,0.553741780821918,3020.54794520548,29.6917808219178,0,146,72988,37.94779522038,93.2881583280888,0.00335171954468394
2015,"bev",0,2.0645828787864,0,2919.58762886598,83.2577319587629,0,97,68536,NA,113.926160299392,0.00406730769230769
2015,"hev",5.59362577576151,0,0,3314.85429992893,0,0,1407,68536,42.0496489091601,NA,0.0220009157509158
2015,"icev",10.3169092334895,0,0,3925.35489076836,0,0,66922,68536,22.7984946534656,NA,0.971473042582418
2015,"phev",6.3399459359512,2.50741725122868,0.563127272727273,2972.72727272727,33.5,0,110,68536,37.0996854509787,93.8056878585893,0.00245873397435897
2016,"bev",0,2.0770721856553,0,2603.84615384615,84.1923076923077,0,26,69961,NA,113.241129328297,0.0049394042940942
2016,"hev",5.70022151542543,0,0,3368.45513413506,0,0,1081,69961,41.2633086913369,NA,0.0197590409476622
2016,"icev",10.0588066575748,0,0,3926.29749734611,0,0,68767,69961,23.383489513925,NA,0.971150691952845
2016,"phev",7.01672867706331,3.01814845833658,0.47458275862069,3609.19540229885,23.6896551724138,0,87,69961,33.5213189543538,77.9318854744584,0.00415086280539894
2017,"bev",0,2.06061023873724,0,3079.04761904762,174.819047619048,0,105,70067,NA,114.145797967178,0.00606389646567233
2017,"hev",5.6830034199464,0,0,3540.12789768185,0,0,1251,70067,41.3883263160553,NA,0.0210590215309616
2017,"icev",10.1929804069834,0,0,3887.92997453087,0,0,68318,70067,23.075684501351,NA,0.967584992165283
2017,"phev",5.94527327480917,2.45805644641273,0.565852417302799,3310.68702290076,32.5089058524173,0,393,70067,39.5625212043007,95.6894217556573,0.00529208983808253
2018,"bev",0,2.01904006279203,0,3634.65909090909,251.604166666667,0,528,56709,NA,116.495954852297,0.0119606053604436
2018,"hev",5.76297973391299,0,0,3654.96957403651,0,0,986,56709,40.8139557763628,NA,0.0195288239371534
2018,"icev",10.2393708040279,0,0,4030.33677151292,0,0,54874,56709,22.9711380222186,NA,0.96135466728281
2018,"phev",6.65312657189286,2.58699121114095,0.62390031152648,3579.7507788162,40.6604361370716,0,321,56709,35.3533030611021,90.9202934231324,0.00715590341959335
2019,"bev",0,2.11709412278972,0,3715.82089552239,248.411940298507,0,335,43141,NA,111.100398167494,0.0137066651034644
2019,"hev",5.64908122858226,0,0,3709.72067039106,0,0,895,43141,41.6368592488853,NA,0.0234154405299256
2019,"icev",9.98088825826501,0,0,3811.71341653293,0,0,41747,43141,23.5660388047353,NA,0.957848818805323
2019,"phev",6.5416296149406,2.56868502462646,0.619359756097561,3325.60975609756,41.5731707317073,0,164,43141,35.9558724423648,91.568252917348,0.0050290755612873
2020,"bev",0,2.04505002697808,0,3750,283.56338028169,82.8950356807512,426,33918,NA,115.014301311525,0.016388869804191
2020,"hev",5.50154157893,0,0,3562.28070175439,0,0,798,33918,42.7534712999017,NA,0.0312653383716936
2020,"icev",10.1613149766504,0,0,4256.9100951212,0,0,32590,33918,23.1475946312545,NA,0.947601786327722
2020,"phev",6.82391019532271,2.73102774003522,0.537798076923077,4090.38461538462,26.8173076923077,0,104,33918,34.4685075371038,86.1250863738816,0.00474400549639299
2021,"bev",0,2.20805558446467,0,3469.16058394161,292.919708029197,85.4994335766423,548,25513,NA,106.523586478021,0.0305957645178476
2021,"hev",5.98824929679663,0,0,3740.94063222822,0,0,1297,25513,39.2785918458378,NA,0.0532093766648908
2021,"icev",10.4672177268037,0,0,4374.90095846645,0,0,23475,25513,22.4711099108688,NA,0.904643380394246
2021,"phev",8.55471748351844,3.51370982613818,0.526176165803109,4158.0310880829,24.9740932642487,0,193,25513,27.4947712128608,66.9406444010525,0.0115514784230154
2022,"bev",0,1.967305034158,0,3702.49653259362,272.819694868239,70.5997808599168,721,12721,NA,119.559496832513,0.057
2022,"hev",6.25508979872462,0,0,4016.497829233,0,0,691,12721,37.6029773462178,NA,0.058
2022,"icev",10.624464051424,0,0,4289.15081703723,0,0,11199,12721,22.1385284812061,NA,0.865
2022,"phev",7.84121106350167,3.19023062992133,0.563554545454546,4157.27272727273,28.2909090909091,3.07636363636364,110,12721,29.9966418573819,73.7282119336307,0.02
2023,"bev",0,2.1860126604535,0,3939.65517241379,280.396551724138,88.7110172413793,58,600,NA,107.597729992654,0.07
2023,"hev",7.25618225910389,0,0,4422.72727272727,0,0,44,600,32.4151174269219,NA,0.075
2023,"icev",10.850096703787,0,0,4531.16089613035,0,0,491,600,21.678147801015,NA,0.8375
2023,"phev",9.10967791762013,3.70486725466015,0.576857142857143,3857.14285714286,30.4285714285714,7.24371428571428,7,600,25.8197932053176,63.4867550798595,0.0175
2024,"bev",0,2.69749609865701,0,4917.64705882353,290.058823529412,108.0356,17,961,NA,87.1956775459669,0.09
2024,"hev",6.39238799506178,0,0,3990.26548672566,0,0,113,961,36.7953259692158,NA,0.1
2024,"icev",10.116942510774,0,0,4099.1452991453,0,0,819,961,23.2491189654893,NA,0.79
2024,"phev",8.9434281935961,3.57324903231559,0.60725,4033.33333333333,33.0833333333333,16.56425,12,961,26.2997583150968,65.825246959509,0.02
