"age","production_year","powertrain","l_100km","l_100kme","uf","weight_lbs","ev_range","batt_kwh","n_year_powertrain","mpg","mpge","proportion","n_year","n","vmt","high_VMT_prop","vmt_bucket"
23,2001,"icev",12.7474974760367,0,0,4250.02422969753,0,0,99052,18.4514647241278,NA,0.998824231884058,3271997.82841699,1634075.35884745,12026.8272041051,0.813633595430574,"high"
23,2001,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3271997.82841699,0,12026.8272041051,0.813633595430574,"high"
24,2000,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2698709.32285617,0,11666.0574508129,0.815965586775576,"high"
24,2000,"hev",4.43792452830189,0,0,1500,0,0,35,53,NA,0.000537047673750718,2698709.32285617,724.66778198464,11666.0574508129,0.815965586775576,"high"
24,2000,"icev",12.4781923369196,0,0,4203.31561245525,0,0,92170,18.8496854070823,NA,0.999462952326249,2698709.32285617,1348629.9936461,11666.0574508129,0.815965586775576,"high"
24,2000,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2698709.32285617,0,11666.0574508129,0.815965586775576,"high"
25,1999,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2224974.59919439,0,11303.0285406355,0.818297578120578,"high"
25,1999,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01190476190476e-06,2224974.59919439,1.12573119602097,11303.0285406355,0.818297578120578,"high"
25,1999,"icev",12.6277765722375,0,0,4185.76495095454,0,0,75848,18.6263986105928,NA,0.999998988095238,2224974.59919439,1112486.173866,11303.0285406355,0.818297578120578,"high"
25,1999,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2224974.59919439,0,11303.0285406355,0.818297578120578,"high"
26,1998,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1843292.67291646,0,10937.7404735728,0.82062956946558,"high"
26,1998,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1843292.67291646,0,10937.7404735728,0.82062956946558,"high"
26,1998,"icev",12.6617740447615,0,0,2790.24556194718,0,0,64668,18.576385834125,NA,1,1843292.67291646,921646.336458232,10937.7404735728,0.82062956946558,"high"
26,1998,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1843292.67291646,0,10937.7404735728,0.82062956946558,"high"
27,1997,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1541635.39796531,0,10570.1932496248,0.822961560810582,"high"
27,1997,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1541635.39796531,0,10570.1932496248,0.822961560810582,"high"
27,1997,"icev",12.6317935269378,0,0,2968.35501540568,0,0,58420,18.6204753504247,NA,1,1541635.39796531,770817.698982653,10570.1932496248,0.822961560810582,"high"
27,1997,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1541635.39796531,0,10570.1932496248,0.822961560810582,"high"
28,1996,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1306317.87764308,0,10200.3868687914,0.825293552155584,"high"
28,1996,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1306317.87764308,0,10200.3868687914,0.825293552155584,"high"
28,1996,"icev",12.5400931524426,0,0,2823.79058267039,0,0,46510,18.7566389771343,NA,1,1306317.87764308,653158.938821538,10200.3868687914,0.825293552155584,"high"
28,1996,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1306317.87764308,0,10200.3868687914,0.825293552155584,"high"
29,1995,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1124121.45497303,0,9828.32133107283,0.827625543500586,"high"
29,1995,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1124121.45497303,0,9828.32133107283,0.827625543500586,"high"
29,1995,"icev",12.8322554455687,0,0,3024.34804786296,0,0,47051,18.3295914734322,NA,1,1124121.45497303,562060.727486513,9828.32133107283,0.827625543500586,"high"
29,1995,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1124121.45497303,0,9828.32133107283,0.827625543500586,"high"
30,1994,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,983474.094963168,0,9453.99663646892,0.829957534845588,"high"
30,1994,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,983474.094963168,0,9453.99663646892,0.829957534845588,"high"
30,1994,"icev",12.7031542054536,0,0,2892.86830042765,0,0,39051,18.5158737897571,NA,1,983474.094963168,491737.047481584,9453.99663646892,0.829957534845588,"high"
30,1994,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,983474.094963168,0,9453.99663646892,0.829957534845588,"high"
31,1993,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,874862.128435958,0,9077.41278497971,0.83228952619059,"high"
31,1993,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,874862.128435958,0,9077.41278497971,0.83228952619059,"high"
31,1993,"icev",12.4152222400288,0,0,2879.23112128147,0,0,32775,18.94529114764,NA,1,874862.128435958,437431.064217979,9077.41278497971,0.83228952619059,"high"
31,1993,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,874862.128435958,0,9077.41278497971,0.83228952619059,"high"
32,1992,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,790769.770353138,0,8698.5697766052,0.834621517535592,"high"
32,1992,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,790769.770353138,0,8698.5697766052,0.834621517535592,"high"
32,1992,"icev",12.3969701544692,0,0,2927.29306487696,0,0,26820,18.9731843401433,NA,1,790769.770353138,395384.885176569,8698.5697766052,0.834621517535592,"high"
32,1992,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,790769.770353138,0,8698.5697766052,0.834621517535592,"high"
33,1991,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,725401.086489943,0,8317.4676113454,0.836953508880594,"high"
33,1991,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,725401.086489943,0,8317.4676113454,0.836953508880594,"high"
33,1991,"icev",12.1928296986061,0,0,2809.2835646213,0,0,23924,19.2908459983567,NA,1,725401.086489943,362700.543244971,8317.4676113454,0.836953508880594,"high"
33,1991,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,725401.086489943,0,8317.4676113454,0.836953508880594,"high"
34,1990,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,674345.41180675,0,7934.1062892003,0.839285500225596,"high"
34,1990,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,674345.41180675,0,7934.1062892003,0.839285500225596,"high"
34,1990,"icev",12.3256843039327,0,0,2810.20006716883,0,0,20843,19.0829161448628,NA,1,674345.41180675,337172.705903375,7934.1062892003,0.839285500225596,"high"
34,1990,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,674345.41180675,0,7934.1062892003,0.839285500225596,"high"
35,1989,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,634266.192473561,0,7548.4858101699,0.841617491570598,"high"
35,1989,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,634266.192473561,0,7548.4858101699,0.841617491570598,"high"
35,1989,"icev",12.4253473149509,0,0,2896.49045602069,0,0,18179,18.9298531492139,NA,1,634266.192473561,317133.09623678,7548.4858101699,0.841617491570598,"high"
35,1989,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,634266.192473561,0,7548.4858101699,0.841617491570598,"high"
36,1988,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,602642.313203124,0,7160.6061742542,0.8439494829156,"high"
36,1988,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,602642.313203124,0,7160.6061742542,0.8439494829156,"high"
36,1988,"icev",12.6539130917957,0,0,2783.81904888065,0,0,15098,18.587925987298,NA,1,602642.313203124,301321.156601562,7160.6061742542,0.8439494829156,"high"
36,1988,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,602642.313203124,0,7160.6061742542,0.8439494829156,"high"
37,1987,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,577565.194327583,0,6770.46738145321,0.846281474260602,"high"
37,1987,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,577565.194327583,0,6770.46738145321,0.846281474260602,"high"
37,1987,"icev",12.1409683974916,0,0,2921.55479963495,0,0,12053,19.3732486815958,NA,1,577565.194327583,288782.597163792,6770.46738145321,0.846281474260602,"high"
37,1987,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,577565.194327583,0,6770.46738145321,0.846281474260602,"high"
38,1986,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,557584.540507421,0,6378.06943176693,0.848613465605604,"high"
38,1986,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,557584.540507421,0,6378.06943176693,0.848613465605604,"high"
38,1986,"icev",12.7301571767542,0,0,3033.69678581587,0,0,10547,18.4765982645919,NA,1,557584.540507421,278792.270253711,6378.06943176693,0.848613465605604,"high"
38,1986,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,557584.540507421,0,6378.06943176693,0.848613465605604,"high"
39,1985,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,541592.971184399,0,5983.41232519534,0.850945456950606,"high"
39,1985,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,541592.971184399,0,5983.41232519534,0.850945456950606,"high"
39,1985,"icev",13.0032122743871,0,0,2981.49871433819,0,0,8167,18.0886072638606,NA,1,541592.971184399,270796.4855922,5983.41232519534,0.850945456950606,"high"
39,1985,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,541592.971184399,0,5983.41232519534,0.850945456950606,"high"
40,1984,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,528740.370800352,0,5586.49606173846,0.853277448295608,"high"
40,1984,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,528740.370800352,0,5586.49606173846,0.853277448295608,"high"
