scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,current_or_disposed,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,phev,18.0,0.0,2007.0,high,,,,,,,14144.0034292666,current,,,,,,,,,,,,,,,,
default,0,bev,19.0,0.0,2006.0,high,,,,,,,13796.7886172863,current,,,,,,,,,,,,,,,,
default,0,hev,19.0,49152.919239610565,2006.0,high,34.1766475776591,inf,6.88218466909418,0.0,0.0,0.0,13796.7886172863,current,,,,,,,,,,,,,,,,
default,0,icev,19.0,3163124.5427398253,2006.0,high,18.9392609266662,inf,12.4191752207621,0.0,0.0,0.0,13796.7886172863,current,,,,,,,,,,,,,,,,
default,0,phev,19.0,0.0,2006.0,high,,,,,,,13796.7886172863,current,,,,,,,,,,,,,,,,
default,0,bev,20.0,0.0,2005.0,high,,,,,,,13447.3146484206,current,,,,,,,,,,,,,,,,
default,0,hev,20.0,33585.62313696263,2005.0,high,40.3639171782186,inf,5.82723423401843,0.0,0.0,0.0,13447.3146484206,current,,,,,,,,,,,,,,,,
default,0,icev,20.0,2738081.482776289,2005.0,high,18.5635775076556,inf,12.6705102991597,0.0,0.0,0.0,13447.3146484206,current,,,,,,,,,,,,,,,,
default,0,phev,20.0,0.0,2005.0,high,,,,,,,13447.3146484206,current,,,,,,,,,,,,,,,,
default,0,bev,21.0,0.0,2004.0,high,,,,,,,13095.5815226697,current,,,,,,,,,,,,,,,,
default,0,hev,21.0,11768.134972117272,2004.0,high,43.8187272589767,inf,5.3677962531834,0.0,0.0,0.0,13095.5815226697,current,,,,,,,,,,,,,,,,
default,0,icev,21.0,2342333.8711320884,2004.0,high,18.5242567220541,inf,12.6974055439412,0.0,0.0,0.0,13095.5815226697,current,,,,,,,,,,,,,,,,
default,0,phev,21.0,0.0,2004.0,high,,,,,,,13095.5815226697,current,,,,,,,,,,,,,,,,
default,0,bev,22.0,0.0,2003.0,high,,,,,,,12741.5892400334,current,,,,,,,,,,,,,,,,
default,0,hev,22.0,5628.182748276598,2003.0,high,40.5786304623963,inf,5.79640065028725,0.0,0.0,0.0,12741.5892400334,current,,,,,,,,,,,,,,,,
default,0,icev,22.0,1966827.0670892333,2003.0,high,18.5605720229538,inf,12.6725620152825,0.0,0.0,0.0,12741.5892400334,current,,,,,,,,,,,,,,,,
default,0,phev,22.0,0.0,2003.0,high,,,,,,,12741.5892400334,current,,,,,,,,,,,,,,,,
default,0,bev,23.0,0.0,2002.0,high,,,,,,,12385.3378005119,current,,,,,,,,,,,,,,,,
default,0,hev,23.0,3509.8019554630073,2002.0,high,41.481409001957,inf,5.67025097891211,0.0,0.0,0.0,12385.3378005119,current,,,,,,,,,,,,,,,,
default,0,icev,23.0,1632489.1118611542,2002.0,high,18.2712586176363,inf,12.8732237292599,0.0,0.0,0.0,12385.3378005119,current,,,,,,,,,,,,,,,,
default,0,phev,23.0,0.0,2002.0,high,,,,,,,12385.3378005119,current,,,,,,,,,,,,,,,,
default,0,bev,24.0,0.0,2001.0,high,,,,,,,12026.8272041051,current,,,,,,,,,,,,,,,,
default,0,hev,24.0,1586.5281875140436,2001.0,high,41.9948326218828,inf,5.60092719306223,0.0,0.0,0.0,12026.8272041051,current,,,,,,,,,,,,,,,,
default,0,icev,24.0,1347768.1328230945,2001.0,high,18.4514647241278,inf,12.7474974760367,0.0,0.0,0.0,12026.8272041051,current,,,,,,,,,,,,,,,,
default,0,phev,24.0,0.0,2001.0,high,,,,,,,12026.8272041051,current,,,,,,,,,,,,,,,,
default,0,bev,25.0,0.0,2000.0,high,,,,,,,11666.0574508129,current,,,,,,,,,,,,,,,,
default,0,hev,25.0,597.4587161650301,2000.0,high,53.0,inf,4.43792452830189,0.0,0.0,0.0,11666.0574508129,current,,,,,,,,,,,,,,,,
default,0,icev,25.0,1111889.8405815014,2000.0,high,18.8496854070823,inf,12.4781923369196,0.0,0.0,0.0,11666.0574508129,current,,,,,,,,,,,,,,,,
default,0,phev,25.0,0.0,2000.0,high,,,,,,,11666.0574508129,current,,,,,,,,,,,,,,,,
default,0,bev,26.0,0.0,1999.0,high,,,,,,,11303.0285406355,current,,,,,,,,,,,,,,,,
default,0,hev,26.0,0.9326183168154638,1999.0,high,,,,,,,11303.0285406355,current,,,,,,,,,,,,,,,,
default,0,icev,26.0,921645.4039993199,1999.0,high,18.6263986105928,inf,12.6277765722375,0.0,0.0,0.0,11303.0285406355,current,,,,,,,,,,,,,,,,
default,0,phev,26.0,0.0,1999.0,high,,,,,,,11303.0285406355,current,,,,,,,,,,,,,,,,
default,0,bev,27.0,0.0,1998.0,high,,,,,,,10937.7404735728,current,,,,,,,,,,,,,,,,
default,0,hev,27.0,0.0,1998.0,high,,,,,,,10937.7404735728,current,,,,,,,,,,,,,,,,
default,0,icev,27.0,770817.6987669709,1998.0,high,18.576385834125,inf,12.6617740447615,0.0,0.0,0.0,10937.7404735728,current,,,,,,,,,,,,,,,,
default,0,phev,27.0,0.0,1998.0,high,,,,,,,10937.7404735728,current,,,,,,,,,,,,,,,,
default,0,bev,28.0,0.0,1997.0,high,,,,,,,10570.1932496248,current,,,,,,,,,,,,,,,,
default,0,hev,28.0,0.0,1997.0,high,,,,,,,10570.1932496248,current,,,,,,,,,,,,,,,,
default,0,icev,28.0,653158.9392040224,1997.0,high,18.6204753504247,inf,12.6317935269378,0.0,0.0,0.0,10570.1932496248,current,,,,,,,,,,,,,,,,
default,0,phev,28.0,0.0,1997.0,high,,,,,,,10570.1932496248,current,,,,,,,,,,,,,,,,
default,0,bev,29.0,0.0,1996.0,high,,,,,,,10200.3868687914,current,,,,,,,,,,,,,,,,
default,0,hev,29.0,0.0,1996.0,high,,,,,,,10200.3868687914,current,,,,,,,,,,,,,,,,
default,0,icev,29.0,562060.7277538449,1996.0,high,18.7566389771343,inf,12.5400931524426,0.0,0.0,0.0,10200.3868687914,current,,,,,,,,,,,,,,,,
