scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,ghg_cost_x_n,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,phev,17.0,0.0,2008.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,18.0,0.0,2007.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,18.0,9578.940860028384,2007.0,high,,,,,,,,,,,,,,26821034.408079475,,,,,,,,,,
default,0,icev,18.0,433255.1586761362,2007.0,high,,,,,,,,,,,,,,1213114444.2931814,,,,,,,,,,
default,0,phev,18.0,0.0,2007.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,19.0,0.0,2006.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,19.0,6869.969602843836,2006.0,high,,,,,,,,,,,,,,19235914.88796274,,,,,,,,,,
default,0,icev,19.0,442101.2992676949,2006.0,high,,,,,,,,,,,,,,1237883637.9495456,,,,,,,,,,
default,0,phev,19.0,0.0,2006.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,20.0,0.0,2005.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,20.0,5339.087544006771,2005.0,high,,,,,,,,,,,,,,14949445.12321896,,,,,,,,,,
default,0,icev,20.0,435271.2670999308,2005.0,high,,,,,,,,,,,,,,1218759547.8798063,,,,,,,,,,
default,0,phev,20.0,0.0,2005.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,21.0,0.0,2004.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,21.0,2087.4042202639284,2004.0,high,,,,,,,,,,,,,,5844731.816738999,,,,,,,,,,
default,0,icev,21.0,415477.6962919713,2004.0,high,,,,,,,,,,,,,,1163337549.6175196,,,,,,,,,,
default,0,phev,21.0,0.0,2004.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,22.0,0.0,2003.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,22.0,1088.9867779930116,2003.0,high,,,,,,,,,,,,,,3049162.9783804324,,,,,,,,,,
default,0,icev,22.0,380557.76908004686,2003.0,high,,,,,,,,,,,,,,1065561753.4241312,,,,,,,,,,
default,0,phev,22.0,0.0,2003.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,23.0,0.0,2002.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,23.0,721.819002323663,2002.0,high,,,,,,,,,,,,,,2021093.2065062562,,,,,,,,,,
default,0,icev,23.0,335734.51635746594,2002.0,high,,,,,,,,,,,,,,940056645.8009046,,,,,,,,,,
default,0,phev,23.0,0.0,2002.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,24.0,0.0,2001.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,24.0,337.02717352808656,2001.0,high,,,,,,,,,,,,,,943676.0858786424,,,,,,,,,,
default,0,icev,24.0,286307.2260243555,2001.0,high,,,,,,,,,,,,,,801660232.8681954,,,,,,,,,,
default,0,phev,24.0,0.0,2001.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,25.0,0.0,2000.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,25.0,127.20906581960995,2000.0,high,,,,,,,,,,,,,,356185.38429490785,,,,,,,,,,
default,0,icev,25.0,236740.15306459862,2000.0,high,,,,,,,,,,,,,,662872428.5808761,,,,,,,,,,
default,0,phev,25.0,0.0,2000.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,26.0,0.0,1999.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,26.0,0.19311287920550607,1999.0,high,,,,,,,,,,,,,,540.716061775417,,,,,,,,,,
default,0,icev,26.0,190840.76986668012,1999.0,high,,,,,,,,,,,,,,534354155.62670434,,,,,,,,,,
default,0,phev,26.0,0.0,1999.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,27.0,0.0,1998.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,27.0,0.0,1998.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,27.0,150828.6376912611,1998.0,high,,,,,,,,,,,,,,422320185.5355311,,,,,,,,,,
default,0,phev,27.0,0.0,1998.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,28.0,0.0,1997.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,28.0,0.0,1997.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,28.0,117658.75977863053,1997.0,high,,,,,,,,,,,,,,329444527.38016546,,,,,,,,,,
default,0,phev,28.0,0.0,1997.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,29.0,0.0,1996.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,29.0,0.0,1996.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,29.0,91098.21106769305,1996.0,high,,,,,,,,,,,,,,255074990.98954052,,,,,,,,,,
default,0,phev,29.0,0.0,1996.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,30.0,0.0,1995.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,30.0,0.0,1995.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,30.0,70323.6802843949,1995.0,high,,,,,,,,,,,,,,196906304.79630572,,,,,,,,,,
default,0,phev,30.0,0.0,1995.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,31.0,0.0,1994.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,31.0,0.0,1994.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,31.0,54305.98349046855,1994.0,high,,,,,,,,,,,,,,152056753.77331194,,,,,,,,,,
default,0,phev,31.0,0.0,1994.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,32.0,0.0,1993.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,32.0,0.0,1993.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,32.0,42046.17921951497,1993.0,high,,,,,,,,,,,,,,117729301.81464191,,,,,,,,,,
default,0,phev,32.0,0.0,1993.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,33.0,0.0,1992.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,33.0,0.0,1992.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,33.0,32684.342077634476,1992.0,high,,,,,,,,,,,,,,91516157.81737652,,,,,,,,,,
default,0,phev,33.0,0.0,1992.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,34.0,0.0,1991.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,34.0,0.0,1991.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,34.0,25527.837359138586,1991.0,high,,,,,,,,,,,,,,71477944.60558805,,,,,,,,,,
default,0,phev,34.0,0.0,1991.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,35.0,0.0,1990.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,35.0,0.0,1990.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,35.0,20039.609593219313,1990.0,high,,,,,,,,,,,,,,56110906.861014076,,,,,,,,,,
default,0,phev,35.0,0.0,1990.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,36.0,0.0,1989.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,36.0,0.0,1989.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,36.0,15811.939679535806,1989.0,high,,,,,,,,,,,,,,44273431.102700256,,,,,,,,,,
default,0,phev,36.0,0.0,1989.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,37.0,0.0,1988.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,37.0,0.0,1988.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,37.0,12538.559395840584,1988.0,high,,,,,,,,,,,,,,35107966.30835363,,,,,,,,,,
default,0,phev,37.0,0.0,1988.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,38.0,0.0,1987.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,38.0,0.0,1987.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,38.0,9990.326810537837,1987.0,high,,,,,,,,,,,,,,27972915.069505945,,,,,,,,,,
default,0,phev,38.0,0.0,1987.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,39.0,0.0,1986.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,39.0,0.0,1986.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,39.0,7995.784614258051,1986.0,high,,,,,,,,,,,,,,22388196.91992254,,,,,,,,,,
default,0,phev,39.0,0.0,1986.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,40.0,0.0,1985.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,40.0,0.0,1985.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,40.0,6426.300104015971,1985.0,high,,,,,,,,,,,,,,17993640.29124472,,,,,,,,,,
default,0,phev,40.0,0.0,1985.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
