scenario,year,age,vmt,vmt_bucket
default,1,17.0,14144.003429266619,high
default,1,18.0,13796.788617286267,high
default,1,19.0,13447.314648420632,high
default,1,20.0,13095.581522669687,high
default,1,21.0,12741.589240033443,high
default,1,22.0,12385.3378005119,high
default,1,23.0,12026.827204105064,high
default,1,24.0,11666.057450812947,high
default,1,25.0,11303.028540635516,high
default,1,26.0,10937.740473572789,high
default,1,27.0,10570.193249624761,high
default,1,28.0,10200.38686879144,high
default,1,29.0,9828.321331072837,high
default,1,30.0,9453.996636468923,high
default,1,31.0,9077.412784979708,high
default,1,32.0,8698.569776605196,high
default,1,33.0,8317.467611345392,high
default,1,34.0,7934.106289200303,high
default,1,35.0,7548.485810169902,high
default,1,36.0,7160.606174254203,high
default,1,37.0,6770.467381453208,high
default,1,38.0,6378.069431766933,high
default,1,39.0,5983.412325195344,high
default,1,40.0,5586.496061738459,high
default,1,41.0,5187.320641396274,high
default,1,42.0,4785.886064168795,high
default,1,43.0,4382.192330056035,high
default,1,44.0,3976.23943905796,high
default,1,45.0,3568.0273911745894,high
default,1,46.0,3157.5561864059214,high
default,1,47.0,2744.825824751956,high
default,1,48.0,2329.836306212712,high
default,1,49.0,1912.5876307881526,high
default,1,50.0,1493.0797984782964,high
default,2,0.0,6221.444983096554,low
default,2,1.0,6045.8704938124865,low
default,2,2.0,5872.555161413766,low
default,2,3.0,5701.498985900288,low
default,2,4.0,5532.70196727212,low
default,2,5.0,5366.1641055292375,low
default,2,6.0,5201.885400671703,low
default,2,7.0,5039.865852699418,low
default,2,8.0,4880.105461612428,low
default,2,9.0,4722.60422741074,low
default,2,10.0,4567.362150094327,low
default,2,11.0,4414.379229663276,low
default,2,12.0,4263.655466117474,low
default,2,13.0,4115.190859456983,low
default,2,14.0,3968.985409681784,low
default,2,15.0,3825.0391167918906,low
default,2,16.0,3683.351980787287,low
default,2,17.0,3543.9240016679814,low
default,2,18.0,3406.755179433975,low
default,2,19.0,3271.845514085269,low
default,2,20.0,3139.1950056218543,low
default,2,21.0,3008.8036540437365,low
default,2,22.0,2880.671459350921,low
default,2,23.0,2754.7984215433953,low
default,2,24.0,2631.184540621174,low
default,2,25.0,2509.829816584245,low
default,2,26.0,2390.7342494326117,low
default,2,27.0,2273.8978391662777,low
default,2,28.0,2159.320585785241,low
default,2,29.0,2047.0024892895028,low
default,2,30.0,1936.9435496790582,low
default,2,31.0,1829.1437669539118,low
default,2,32.0,1723.6031411140625,low
default,2,33.0,1620.3216721595093,low
default,2,34.0,1519.299360090257,low
default,2,35.0,1420.5362049062978,low
default,2,36.0,1324.0322066076362,low
default,2,37.0,1229.7873651942718,low
default,2,38.0,1137.8016806662067,low
default,2,39.0,1048.0751530234354,low
default,2,40.0,960.607782265962,low
default,2,41.0,875.3995683937853,low
default,2,42.0,792.4505114069052,low
default,2,43.0,711.7606113053254,low
default,2,44.0,633.3298680890391,low
default,2,45.0,557.1582817580505,low
default,2,46.0,483.24585231235886,low
default,2,47.0,411.59257975196374,low
default,2,48.0,342.1984640768683,low
default,2,49.0,275.06350528706747,low
default,2,50.0,210.18770338256365,low
default,2,0.0,19701.004229482045,high
default,2,1.0,19392.195084551713,high
default,2,2.0,19081.126782736235,high
default,2,3.0,18767.79932403531,high
default,2,4.0,18452.21270844908,high
default,2,5.0,18134.366935977563,high
default,2,6.0,17814.2620066209,high
default,2,7.0,17491.897920378782,high
default,2,8.0,17167.27467725137,high
default,2,9.0,16840.39227723866,high
default,2,10.0,16511.250720340675,high
default,2,11.0,16179.850006557523,high
default,2,12.0,15846.190135888926,high
default,2,13.0,15510.271108335037,high
default,2,14.0,15172.092923895878,high
default,2,15.0,14831.655582571431,high
default,2,16.0,14488.959084361672,high
default,2,17.0,14144.003429266619,high
default,2,18.0,13796.788617286267,high
default,2,19.0,13447.314648420632,high
default,2,20.0,13095.581522669687,high
default,2,21.0,12741.589240033443,high
default,2,22.0,12385.3378005119,high
default,2,23.0,12026.827204105064,high
default,2,24.0,11666.057450812947,high
default,2,25.0,11303.028540635516,high
default,2,26.0,10937.740473572789,high
default,2,27.0,10570.193249624761,high
default,2,28.0,10200.38686879144,high
default,2,29.0,9828.321331072837,high
default,2,30.0,9453.996636468923,high
default,2,31.0,9077.412784979708,high
default,2,32.0,8698.569776605196,high
default,2,33.0,8317.467611345392,high
default,2,34.0,7934.106289200303,high
default,2,35.0,7548.485810169902,high
default,2,36.0,7160.606174254203,high
default,2,37.0,6770.467381453208,high
default,2,38.0,6378.069431766933,high
default,2,39.0,5983.412325195344,high
default,2,40.0,5586.496061738459,high
default,2,41.0,5187.320641396274,high
default,2,42.0,4785.886064168795,high
default,2,43.0,4382.192330056035,high
default,2,44.0,3976.23943905796,high
default,2,45.0,3568.0273911745894,high
default,2,46.0,3157.5561864059214,high
default,2,47.0,2744.825824751956,high
default,2,48.0,2329.836306212712,high
default,2,49.0,1912.5876307881526,high
default,2,50.0,1493.0797984782964,high
default,3,0.0,6221.444983096554,low
default,3,1.0,6045.8704938124865,low
default,3,2.0,5872.555161413766,low
default,3,3.0,5701.498985900288,low
default,3,4.0,5532.70196727212,low
default,3,5.0,5366.1641055292375,low
default,3,6.0,5201.885400671703,low
default,3,7.0,5039.865852699418,low
default,3,8.0,4880.105461612428,low
default,3,9.0,4722.60422741074,low
default,3,10.0,4567.362150094327,low
default,3,11.0,4414.379229663276,low
default,3,12.0,4263.655466117474,low
default,3,13.0,4115.190859456983,low
default,3,14.0,3968.985409681784,low
default,3,15.0,3825.0391167918906,low
default,3,16.0,3683.351980787287,low
default,3,17.0,3543.9240016679814,low
default,3,18.0,3406.755179433975,low
default,3,19.0,3271.845514085269,low
default,3,20.0,3139.1950056218543,low
default,3,21.0,3008.8036540437365,low
default,3,22.0,2880.671459350921,low
default,3,23.0,2754.7984215433953,low
default,3,24.0,2631.184540621174,low
default,3,25.0,2509.829816584245,low
default,3,26.0,2390.7342494326117,low
default,3,27.0,2273.8978391662777,low
default,3,28.0,2159.320585785241,low
default,3,29.0,2047.0024892895028,low
default,3,30.0,1936.9435496790582,low
default,3,31.0,1829.1437669539118,low
default,3,32.0,1723.6031411140625,low
default,3,33.0,1620.3216721595093,low
default,3,34.0,1519.299360090257,low
default,3,35.0,1420.5362049062978,low
default,3,36.0,1324.0322066076362,low
default,3,37.0,1229.7873651942718,low
default,3,38.0,1137.8016806662067,low
default,3,39.0,1048.0751530234354,low
default,3,40.0,960.607782265962,low
default,3,41.0,875.3995683937853,low
default,3,42.0,792.4505114069052,low
default,3,43.0,711.7606113053254,low
default,3,44.0,633.3298680890391,low
default,3,45.0,557.1582817580505,low
default,3,46.0,483.24585231235886,low
default,3,47.0,411.59257975196374,low
default,3,48.0,342.1984640768683,low
default,3,49.0,275.06350528706747,low
default,3,50.0,210.18770338256365,low
default,3,0.0,19701.004229482045,high
default,3,1.0,19392.195084551713,high
default,3,2.0,19081.126782736235,high
default,3,3.0,18767.79932403531,high
default,3,4.0,18452.21270844908,high
default,3,5.0,18134.366935977563,high
default,3,6.0,17814.2620066209,high
default,3,7.0,17491.897920378782,high
default,3,8.0,17167.27467725137,high
default,3,9.0,16840.39227723866,high
default,3,10.0,16511.250720340675,high
default,3,11.0,16179.850006557523,high
default,3,12.0,15846.190135888926,high
default,3,13.0,15510.271108335037,high
default,3,14.0,15172.092923895878,high
default,3,15.0,14831.655582571431,high
default,3,16.0,14488.959084361672,high
default,3,17.0,14144.003429266619,high
default,3,18.0,13796.788617286267,high
default,3,19.0,13447.314648420632,high
default,3,20.0,13095.581522669687,high
default,3,21.0,12741.589240033443,high
default,3,22.0,12385.3378005119,high
default,3,23.0,12026.827204105064,high
default,3,24.0,11666.057450812947,high
default,3,25.0,11303.028540635516,high
default,3,26.0,10937.740473572789,high
default,3,27.0,10570.193249624761,high
default,3,28.0,10200.38686879144,high
default,3,29.0,9828.321331072837,high
default,3,30.0,9453.996636468923,high
default,3,31.0,9077.412784979708,high
default,3,32.0,8698.569776605196,high
default,3,33.0,8317.467611345392,high
default,3,34.0,7934.106289200303,high
default,3,35.0,7548.485810169902,high
default,3,36.0,7160.606174254203,high
default,3,37.0,6770.467381453208,high
default,3,38.0,6378.069431766933,high
default,3,39.0,5983.412325195344,high
default,3,40.0,5586.496061738459,high
default,3,41.0,5187.320641396274,high
default,3,42.0,4785.886064168795,high
default,3,43.0,4382.192330056035,high
default,3,44.0,3976.23943905796,high
default,3,45.0,3568.0273911745894,high
default,3,46.0,3157.5561864059214,high
default,3,47.0,2744.825824751956,high
default,3,48.0,2329.836306212712,high
default,3,49.0,1912.5876307881526,high
default,3,50.0,1493.0797984782964,high
default,4,0.0,6221.444983096554,low
default,4,1.0,6045.8704938124865,low
default,4,2.0,5872.555161413766,low
default,4,3.0,5701.498985900288,low
default,4,4.0,5532.70196727212,low
default,4,5.0,5366.1641055292375,low
default,4,6.0,5201.885400671703,low
default,4,7.0,5039.865852699418,low
default,4,8.0,4880.105461612428,low
default,4,9.0,4722.60422741074,low
default,4,10.0,4567.362150094327,low
default,4,11.0,4414.379229663276,low
default,4,12.0,4263.655466117474,low
default,4,13.0,4115.190859456983,low
default,4,14.0,3968.985409681784,low
default,4,15.0,3825.0391167918906,low
default,4,16.0,3683.351980787287,low
default,4,17.0,3543.9240016679814,low
default,4,18.0,3406.755179433975,low
default,4,19.0,3271.845514085269,low
default,4,20.0,3139.1950056218543,low
default,4,21.0,3008.8036540437365,low
default,4,22.0,2880.671459350921,low
default,4,23.0,2754.7984215433953,low
default,4,24.0,2631.184540621174,low
default,4,25.0,2509.829816584245,low
default,4,26.0,2390.7342494326117,low
default,4,27.0,2273.8978391662777,low
default,4,28.0,2159.320585785241,low
default,4,29.0,2047.0024892895028,low
default,4,30.0,1936.9435496790582,low
default,4,31.0,1829.1437669539118,low
default,4,32.0,1723.6031411140625,low
default,4,33.0,1620.3216721595093,low
default,4,34.0,1519.299360090257,low
default,4,35.0,1420.5362049062978,low
default,4,36.0,1324.0322066076362,low
default,4,37.0,1229.7873651942718,low
default,4,38.0,1137.8016806662067,low
default,4,39.0,1048.0751530234354,low
default,4,40.0,960.607782265962,low
default,4,41.0,875.3995683937853,low
default,4,42.0,792.4505114069052,low
default,4,43.0,711.7606113053254,low
default,4,44.0,633.3298680890391,low
default,4,45.0,557.1582817580505,low
default,4,46.0,483.24585231235886,low
default,4,47.0,411.59257975196374,low
default,4,48.0,342.1984640768683,low
default,4,49.0,275.06350528706747,low
default,4,50.0,210.18770338256365,low
default,4,0.0,19701.004229482045,high
default,4,1.0,19392.195084551713,high
default,4,2.0,19081.126782736235,high
default,4,3.0,18767.79932403531,high
default,4,4.0,18452.21270844908,high
default,4,5.0,18134.366935977563,high
default,4,6.0,17814.2620066209,high
default,4,7.0,17491.897920378782,high
default,4,8.0,17167.27467725137,high
default,4,9.0,16840.39227723866,high
default,4,10.0,16511.250720340675,high
default,4,11.0,16179.850006557523,high
default,4,12.0,15846.190135888926,high
default,4,13.0,15510.271108335037,high
default,4,14.0,15172.092923895878,high
default,4,15.0,14831.655582571431,high
default,4,16.0,14488.959084361672,high
default,4,17.0,14144.003429266619,high
default,4,18.0,13796.788617286267,high
default,4,19.0,13447.314648420632,high
default,4,20.0,13095.581522669687,high
default,4,21.0,12741.589240033443,high
default,4,22.0,12385.3378005119,high
default,4,23.0,12026.827204105064,high
default,4,24.0,11666.057450812947,high
default,4,25.0,11303.028540635516,high
default,4,26.0,10937.740473572789,high
default,4,27.0,10570.193249624761,high
default,4,28.0,10200.38686879144,high
default,4,29.0,9828.321331072837,high
default,4,30.0,9453.996636468923,high
default,4,31.0,9077.412784979708,high
default,4,32.0,8698.569776605196,high
default,4,33.0,8317.467611345392,high
default,4,34.0,7934.106289200303,high
default,4,35.0,7548.485810169902,high
default,4,36.0,7160.606174254203,high
default,4,37.0,6770.467381453208,high
default,4,38.0,6378.069431766933,high
default,4,39.0,5983.412325195344,high
default,4,40.0,5586.496061738459,high
default,4,41.0,5187.320641396274,high
default,4,42.0,4785.886064168795,high
default,4,43.0,4382.192330056035,high
default,4,44.0,3976.23943905796,high
default,4,45.0,3568.0273911745894,high
default,4,46.0,3157.5561864059214,high
default,4,47.0,2744.825824751956,high
default,4,48.0,2329.836306212712,high
default,4,49.0,1912.5876307881526,high
default,4,50.0,1493.0797984782964,high
default,5,0.0,6221.444983096554,low
default,5,1.0,6045.8704938124865,low
default,5,2.0,5872.555161413766,low
default,5,3.0,5701.498985900288,low
default,5,4.0,5532.70196727212,low
default,5,5.0,5366.1641055292375,low
default,5,6.0,5201.885400671703,low
default,5,7.0,5039.865852699418,low
default,5,8.0,4880.105461612428,low
default,5,9.0,4722.60422741074,low
default,5,10.0,4567.362150094327,low
default,5,11.0,4414.379229663276,low
default,5,12.0,4263.655466117474,low
default,5,13.0,4115.190859456983,low
default,5,14.0,3968.985409681784,low
default,5,15.0,3825.0391167918906,low
default,5,16.0,3683.351980787287,low
default,5,17.0,3543.9240016679814,low
default,5,18.0,3406.755179433975,low
default,5,19.0,3271.845514085269,low
default,5,20.0,3139.1950056218543,low
default,5,21.0,3008.8036540437365,low
default,5,22.0,2880.671459350921,low
default,5,23.0,2754.7984215433953,low
default,5,24.0,2631.184540621174,low
default,5,25.0,2509.829816584245,low
default,5,26.0,2390.7342494326117,low
default,5,27.0,2273.8978391662777,low
default,5,28.0,2159.320585785241,low
default,5,29.0,2047.0024892895028,low
default,5,30.0,1936.9435496790582,low
default,5,31.0,1829.1437669539118,low
default,5,32.0,1723.6031411140625,low
default,5,33.0,1620.3216721595093,low
default,5,34.0,1519.299360090257,low
default,5,35.0,1420.5362049062978,low
default,5,36.0,1324.0322066076362,low
default,5,37.0,1229.7873651942718,low
default,5,38.0,1137.8016806662067,low
default,5,39.0,1048.0751530234354,low
default,5,40.0,960.607782265962,low
default,5,41.0,875.3995683937853,low
default,5,42.0,792.4505114069052,low
default,5,43.0,711.7606113053254,low
default,5,44.0,633.3298680890391,low
default,5,45.0,557.1582817580505,low
default,5,46.0,483.24585231235886,low
default,5,47.0,411.59257975196374,low
default,5,48.0,342.1984640768683,low
default,5,49.0,275.06350528706747,low
default,5,50.0,210.18770338256365,low
default,5,0.0,19701.004229482045,high
default,5,1.0,19392.195084551713,high
default,5,2.0,19081.126782736235,high
default,5,3.0,18767.79932403531,high
default,5,4.0,18452.21270844908,high
default,5,5.0,18134.366935977563,high
default,5,6.0,17814.2620066209,high
default,5,7.0,17491.897920378782,high
default,5,8.0,17167.27467725137,high
default,5,9.0,16840.39227723866,high
default,5,10.0,16511.250720340675,high
default,5,11.0,16179.850006557523,high
default,5,12.0,15846.190135888926,high
default,5,13.0,15510.271108335037,high
default,5,14.0,15172.092923895878,high
default,5,15.0,14831.655582571431,high
default,5,16.0,14488.959084361672,high
default,5,17.0,14144.003429266619,high
default,5,18.0,13796.788617286267,high
default,5,19.0,13447.314648420632,high
default,5,20.0,13095.581522669687,high
default,5,21.0,12741.589240033443,high
default,5,22.0,12385.3378005119,high
default,5,23.0,12026.827204105064,high
default,5,24.0,11666.057450812947,high
default,5,25.0,11303.028540635516,high
default,5,26.0,10937.740473572789,high
default,5,27.0,10570.193249624761,high
default,5,28.0,10200.38686879144,high
default,5,29.0,9828.321331072837,high
default,5,30.0,9453.996636468923,high
default,5,31.0,9077.412784979708,high
default,5,32.0,8698.569776605196,high
default,5,33.0,8317.467611345392,high
default,5,34.0,7934.106289200303,high
default,5,35.0,7548.485810169902,high
default,5,36.0,7160.606174254203,high
default,5,37.0,6770.467381453208,high
default,5,38.0,6378.069431766933,high
default,5,39.0,5983.412325195344,high
default,5,40.0,5586.496061738459,high
default,5,41.0,5187.320641396274,high
default,5,42.0,4785.886064168795,high
default,5,43.0,4382.192330056035,high
default,5,44.0,3976.23943905796,high
default,5,45.0,3568.0273911745894,high
default,5,46.0,3157.5561864059214,high
default,5,47.0,2744.825824751956,high
default,5,48.0,2329.836306212712,high
default,5,49.0,1912.5876307881526,high
default,5,50.0,1493.0797984782964,high
default,6,0.0,6221.444983096554,low
default,6,1.0,6045.8704938124865,low
default,6,2.0,5872.555161413766,low
default,6,3.0,5701.498985900288,low
default,6,4.0,5532.70196727212,low
default,6,5.0,5366.1641055292375,low
default,6,6.0,5201.885400671703,low
default,6,7.0,5039.865852699418,low
default,6,8.0,4880.105461612428,low
default,6,9.0,4722.60422741074,low
default,6,10.0,4567.362150094327,low
default,6,11.0,4414.379229663276,low
default,6,12.0,4263.655466117474,low
default,6,13.0,4115.190859456983,low
default,6,14.0,3968.985409681784,low
default,6,15.0,3825.0391167918906,low
default,6,16.0,3683.351980787287,low
default,6,17.0,3543.9240016679814,low
default,6,18.0,3406.755179433975,low
default,6,19.0,3271.845514085269,low
default,6,20.0,3139.1950056218543,low
default,6,21.0,3008.8036540437365,low
default,6,22.0,2880.671459350921,low
default,6,23.0,2754.7984215433953,low
default,6,24.0,2631.184540621174,low
default,6,25.0,2509.829816584245,low
default,6,26.0,2390.7342494326117,low
default,6,27.0,2273.8978391662777,low
default,6,28.0,2159.320585785241,low
default,6,29.0,2047.0024892895028,low
default,6,30.0,1936.9435496790582,low
default,6,31.0,1829.1437669539118,low
default,6,32.0,1723.6031411140625,low
default,6,33.0,1620.3216721595093,low
default,6,34.0,1519.299360090257,low
default,6,35.0,1420.5362049062978,low
default,6,36.0,1324.0322066076362,low
default,6,37.0,1229.7873651942718,low
default,6,38.0,1137.8016806662067,low
default,6,39.0,1048.0751530234354,low
default,6,40.0,960.607782265962,low
default,6,41.0,875.3995683937853,low
default,6,42.0,792.4505114069052,low
default,6,43.0,711.7606113053254,low
default,6,44.0,633.3298680890391,low
default,6,45.0,557.1582817580505,low
default,6,46.0,483.24585231235886,low
default,6,47.0,411.59257975196374,low
default,6,48.0,342.1984640768683,low
default,6,49.0,275.06350528706747,low
default,6,50.0,210.18770338256365,low
default,6,0.0,19701.004229482045,high
default,6,1.0,19392.195084551713,high
default,6,2.0,19081.126782736235,high
default,6,3.0,18767.79932403531,high
default,6,4.0,18452.21270844908,high
default,6,5.0,18134.366935977563,high
default,6,6.0,17814.2620066209,high
default,6,7.0,17491.897920378782,high
default,6,8.0,17167.27467725137,high
default,6,9.0,16840.39227723866,high
default,6,10.0,16511.250720340675,high
default,6,11.0,16179.850006557523,high
default,6,12.0,15846.190135888926,high
default,6,13.0,15510.271108335037,high
default,6,14.0,15172.092923895878,high
default,6,15.0,14831.655582571431,high
default,6,16.0,14488.959084361672,high
default,6,17.0,14144.003429266619,high
default,6,18.0,13796.788617286267,high
default,6,19.0,13447.314648420632,high
default,6,20.0,13095.581522669687,high
default,6,21.0,12741.589240033443,high
default,6,22.0,12385.3378005119,high
default,6,23.0,12026.827204105064,high
default,6,24.0,11666.057450812947,high
default,6,25.0,11303.028540635516,high
default,6,26.0,10937.740473572789,high
default,6,27.0,10570.193249624761,high
default,6,28.0,10200.38686879144,high
default,6,29.0,9828.321331072837,high
default,6,30.0,9453.996636468923,high
default,6,31.0,9077.412784979708,high
default,6,32.0,8698.569776605196,high
default,6,33.0,8317.467611345392,high
default,6,34.0,7934.106289200303,high
default,6,35.0,7548.485810169902,high
default,6,36.0,7160.606174254203,high
default,6,37.0,6770.467381453208,high
default,6,38.0,6378.069431766933,high
default,6,39.0,5983.412325195344,high
default,6,40.0,5586.496061738459,high
default,6,41.0,5187.320641396274,high
default,6,42.0,4785.886064168795,high
default,6,43.0,4382.192330056035,high
default,6,44.0,3976.23943905796,high
default,6,45.0,3568.0273911745894,high
default,6,46.0,3157.5561864059214,high
default,6,47.0,2744.825824751956,high
default,6,48.0,2329.836306212712,high
default,6,49.0,1912.5876307881526,high
default,6,50.0,1493.0797984782964,high
default,7,0.0,6221.444983096554,low
default,7,1.0,6045.8704938124865,low
default,7,2.0,5872.555161413766,low
default,7,3.0,5701.498985900288,low
default,7,4.0,5532.70196727212,low
default,7,5.0,5366.1641055292375,low
default,7,6.0,5201.885400671703,low
default,7,7.0,5039.865852699418,low
default,7,8.0,4880.105461612428,low
default,7,9.0,4722.60422741074,low
default,7,10.0,4567.362150094327,low
default,7,11.0,4414.379229663276,low
default,7,12.0,4263.655466117474,low
default,7,13.0,4115.190859456983,low
default,7,14.0,3968.985409681784,low
default,7,15.0,3825.0391167918906,low
default,7,16.0,3683.351980787287,low
default,7,17.0,3543.9240016679814,low
default,7,18.0,3406.755179433975,low
default,7,19.0,3271.845514085269,low
default,7,20.0,3139.1950056218543,low
default,7,21.0,3008.8036540437365,low
default,7,22.0,2880.671459350921,low
default,7,23.0,2754.7984215433953,low
default,7,24.0,2631.184540621174,low
default,7,25.0,2509.829816584245,low
default,7,26.0,2390.7342494326117,low
default,7,27.0,2273.8978391662777,low
default,7,28.0,2159.320585785241,low
default,7,29.0,2047.0024892895028,low
default,7,30.0,1936.9435496790582,low
default,7,31.0,1829.1437669539118,low
default,7,32.0,1723.6031411140625,low
default,7,33.0,1620.3216721595093,low
default,7,34.0,1519.299360090257,low
default,7,35.0,1420.5362049062978,low
default,7,36.0,1324.0322066076362,low
default,7,37.0,1229.7873651942718,low
default,7,38.0,1137.8016806662067,low
default,7,39.0,1048.0751530234354,low
default,7,40.0,960.607782265962,low
default,7,41.0,875.3995683937853,low
default,7,42.0,792.4505114069052,low
default,7,43.0,711.7606113053254,low
default,7,44.0,633.3298680890391,low
default,7,45.0,557.1582817580505,low
default,7,46.0,483.24585231235886,low
default,7,47.0,411.59257975196374,low
default,7,48.0,342.1984640768683,low
default,7,49.0,275.06350528706747,low
default,7,50.0,210.18770338256365,low
default,7,0.0,19701.004229482045,high
